PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2021,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2022,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2023,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2024,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2025,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2026,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2027,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2028,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2029,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2030,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2031,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2032,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2033,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2034,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2035,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2036,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2037,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2038,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2039,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2040,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2041,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2042,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2043,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2044,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2045,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2046,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2047,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2048,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2049,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,PPDHYD,,,,2050,,,,,,0.0018
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INORG_RCY_OS,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AD,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COMPOST,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,LANDFILL,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,NO_CONTR_OD,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,COPROC,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,INCIN,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,OPEN_BURN,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2018,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2019,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2020,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2021,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2022,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2023,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2024,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2025,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2026,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2027,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2028,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2029,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2030,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2031,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2032,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2033,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2034,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2035,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2036,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2037,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2038,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2039,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2040,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2041,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2042,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2043,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2044,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2045,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2046,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2047,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2048,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2049,,,,,,0.0
ResidualCapacity,LTSNZ,RD,SIT_CLAN,,,,2050,,,,,,0.0
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2018,,,,,,0.125
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2019,,,,,,0.1187
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2020,,,,,,0.1125
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2021,,,,,,0.1062
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2022,,,,,,0.1
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2023,,,,,,0.0937
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2024,,,,,,0.0875
ResidualCapacity,LTSNZ,RD,AERO_PTAR,,,,2025,,,,,,0.0812
